x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2655402,53.4204534,6.50453E+18,22,1,1,0,4,1.5,3,1.732050808,2,1.154700538
-2.2655963,53.4294419,8.6856E+18,38,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1063691,53.5510339,8.50217E+18,131,0,1,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-5.53016E+16,54,0,0,0,1,0.25,0.25,0.5,1,2
-2.2641527,53.4393324,-1.79913E+18,68,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1048286,53.5384515,-5.96332E+18,201,0,1,0,0,0.25,0.25,0.5,1,2
-2.2625364,53.4213589,-5.44115E+18,93,3,6,2,3,3.5,3,1.732050808,0.857142857,0.494871659
-2.2625531,53.4240555,-5.94413E+18,35,2,2,1,4,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2626418,53.4384369,-5.60821E+18,68,0,0,1,0,0.25,0.25,0.5,1,2
-2.262664,53.4420323,-6.10492E+18,74,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2627028,53.4483242,6.05508E+17,46,0,0,0,1,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5.17394E+18,41,2,2,1,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2610427,53.4231599,-9.77343E+16,25,2,0,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2595106,53.418669,1.87807E+18,87,2,3,2,0,1.75,1.583333333,1.258305739,0.904761905,0.719031851
-2.259516,53.4195678,-6.35926E+18,51,4,1,2,2,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2595928,53.4321516,-3.18646E+18,34,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2595982,53.4330505,4.72838E+18,114,2,0,2,2,1.5,1,1,0.666666667,0.666666667
-2.2596037,53.4339493,-4.34743E+18,84,1,2,3,0,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2596311,53.4384435,2.48674E+18,53,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2580223,53.4213688,-4.18E+18,80,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2580277,53.4222676,-5.187E+18,38,0,1,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.258104,53.4348514,4.5414E+18,97,3,4,1,0,2,3.333333333,1.825741858,1.666666667,0.912870929
-2.2581804,53.4474352,-4.29518E+18,160,0,0,1,0,0.25,0.25,0.5,1,2
-2.256588,53.433057,3.18931E+18,21,0,0,0,1,0.25,0.25,0.5,1,2
-2.2566368,53.4411466,-7.7278E+18,73,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2566693,53.4465396,2.27711E+18,53,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2566856,53.4492361,-6.53952E+18,63,1,0,0,0,0.25,0.25,0.5,1,2
-2.2567236,53.455528,3.64461E+18,76,0,1,0,0,0.25,0.25,0.5,1,2
-2.2567778,53.4645164,2.26024E+18,113,0,0,1,0,0.25,0.25,0.5,1,2
-2.097278,53.5357614,5.92522E+18,137,1,0,0,0,0.25,0.25,0.5,1,2
-2.2551799,53.4492393,-8.60152E+17,131,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2552824,53.4663173,5.79317E+18,129,1,0,0,0,0.25,0.25,0.5,1,2
-2.2536635,53.4474449,-7.15245E+18,100,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2537976,53.4699158,5.61186E+16,104,0,0,0,1,0.25,0.25,0.5,1,2
-2.2521259,53.442055,4.16468E+18,102,2,1,0,3,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.250504,53.4222837,2.47006E+18,35,0,1,0,0,0.25,0.25,0.5,1,2
-2.2507211,53.4591361,-7.1929E+17,69,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2507582,53.465428,-8.08523E+18,67,1,0,0,0,0.25,0.25,0.5,1,2
-2.2490098,53.4240845,-8.27552E+18,40,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2490518,53.4312752,8.50847E+18,125,1,1,1,3,1.5,1,1,0.666666667,0.666666667
-2.2491413,53.4465555,-4.99529E+17,70,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2491992,53.4564428,-1.26267E+18,97,0,2,0,0,0.5,1,1,2,2
-2.2475468,53.4312784,-6.46771E+18,92,0,3,0,0,0.75,2.25,1.5,3,2
-2.2477614,53.4681308,-6.94965E+18,180,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2461665,53.4528537,5.07081E+18,99,3,0,2,0,1.25,2.25,1.5,1.8,1.2
-2.2461769,53.4546513,-3.17467E+18,43,0,2,2,1,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2445521,53.4339811,1.76946E+18,97,1,0,4,1,1.5,3,1.732050808,2,1.154700538
-2.2446141,53.4447672,-7.57688E+17,55,2,2,1,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2430829,53.4402761,-7.29734E+18,55,1,1,2,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2431343,53.4492645,1.74455E+16,87,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2431805,53.457354,-9.1464E+18,90,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2432114,53.4627471,-8.58426E+18,72,1,0,0,0,0.25,0.25,0.5,1,2
-2.243268,53.4726343,3.43066E+18,300,1,1,1,1,1,0,0,0,0
-2.2415265,53.4312907,-8.10113E+18,58,1,0,0,0,0.25,0.25,0.5,1,2
-2.2415673,53.4384814,8.68078E+18,75,1,0,0,0,0.25,0.25,0.5,1,2
-2.2415826,53.441178,2.13439E+18,46,0,1,0,0,0.25,0.25,0.5,1,2
-2.2417563,53.4717385,-8.85666E+18,456,0,0,0,1,0.25,0.25,0.5,1,2
-2.2417717,53.474435,-5.33544E+18,361,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2400214,53.4312937,5.56709E+18,51,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.240062,53.4384845,-4.55618E+18,87,1,2,0,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2401178,53.4483717,-4.10354E+17,91,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2401584,53.4555625,8.13599E+18,219,1,0,2,3,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2401635,53.4564613,8.92812E+18,84,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2402244,53.4672474,3.72273E+18,209,1,4,0,0,1.25,3.583333333,1.892969449,2.866666667,1.514375559
-2.2402549,53.4726404,-4.16528E+18,391,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2402753,53.4762357,2.0697E+18,68,2,2,0,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2386777,53.4600597,1.50763E+18,35,1,0,0,0,0.25,0.25,0.5,1,2
-2.2387635,53.4753399,-2.36774E+18,475,0,0,2,0,0.5,1,1,2,2
-2.2389405,53.5067991,-6.92896E+18,86,0,1,0,0,0.25,0.25,0.5,1,2
-2.2389607,53.5103944,6.86909E+18,212,1,0,0,0,0.25,0.25,0.5,1,2
-2.2390468,53.5256745,3.98231E+18,24,1,0,0,0,0.25,0.25,0.5,1,2
-2.2370564,53.4393893,-7.61366E+18,98,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2370614,53.4402882,5.08886E+18,84,0,0,1,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2370864,53.4447824,-5.08444E+18,47,1,0,0,0,0.25,0.25,0.5,1,2
-2.2371566,53.4573662,5.30132E+18,150,1,2,2,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2356157,53.4510773,9.00472E+18,125,0,1,0,3,1,2,1.414213562,2,1.414213562
-2.2357503,53.4753459,-4.78522E+18,640,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2357852,53.4816378,6.67914E+18,141,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0807055,53.5483575,5.76931E+18,70,0,1,0,0,0.25,0.25,0.5,1,2
-2.2789999,53.4078387,1.25028E+17,20,3,5,7,5,5,2.666666667,1.632993162,0.533333333,0.326598632
-2.2790235,53.4114341,1.3972E+18,47,1,0,2,3,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2775074,53.4096399,4.9473E+18,82,19,28,17,15,19.75,32.91666667,5.737304826,1.666666667,0.290496447
-2.2760031,53.4096434,-8.82062E+18,58,10,20,16,20,16.5,22.33333333,4.725815626,1.353535354,0.286413068
-2.2760206,53.4123399,5.72677E+18,73,12,11,7,7,9.25,6.916666667,2.62995564,0.747747748,0.284319529
-2.2744872,53.4078492,5.58763E+18,46,15,12,9,16,13,10,3.16227766,0.769230769,0.243252128
-2.274493,53.408748,-1.54123E+17,56,21,15,19,18,18.25,6.25,2.5,0.342465753,0.136986301
-2.2730118,53.4123469,-3.20148E+18,77,17,11,10,14,13,10,3.16227766,0.769230769,0.243252128
-2.2715074,53.4123503,-2.91381E+18,69,9,13,8,7,9.25,6.916666667,2.62995564,0.747747748,0.284319529
-2.270003,53.4123537,8.2896E+18,49,3,7,4,7,5.25,4.25,2.061552813,0.80952381,0.392676726
-2.2685836,53.4258398,2.38897E+18,77,2,1,1,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.268595,53.4276374,-6.87981E+18,34,1,2,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.265473,53.4096673,-5.11E+18,39,1,0,0,0,0.25,0.25,0.5,1,2
-2.2655515,53.4222511,2.569E+18,70,0,8,3,4,3.75,10.91666667,3.304037934,2.911111111,0.881076782
-2.2639798,53.4114683,3.91883E+18,32,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2641248,53.4348382,6.42595E+17,49,1,0,0,0,0.25,0.25,0.5,1,2
-2.2625475,53.4231566,4.62057E+18,172,7,10,7,8,8,2,1.414213562,0.25,0.176776695
-2.2626529,53.4402346,8.21602E+18,85,0,0,0,1,0.25,0.25,0.5,1,2
